time,epoch,batch,loss,cost
  0m10s,0,0,-1.400,27.938
  1m01s,0,10,140.572,24.500
  1m00s,0,20,99.148,23.418
  0m33s,0,30,78.834,22.595
  0m26s,0,40,69.461,21.735
  0m24s,0,50,60.933,20.936
  0m37s,0,60,52.762,20.300
  0m29s,0,70,46.039,19.796
  0m23s,0,80,41.073,19.369
  0m28s,0,90,36.798,19.013
  0m29s,0,100,33.310,18.707
  0m26s,0,110,30.527,18.436
  0m28s,0,120,27.715,18.213
  0m25s,0,130,25.826,18.003
  0m25s,0,140,23.914,17.820
  0m22s,0,150,22.216,17.660
  0m27s,0,160,20.890,17.511
  0m28s,0,170,19.587,17.374
  0m25s,0,180,18.429,17.253
  0m21s,0,190,17.373,17.141
  0m24s,0,200,16.427,17.036
  0m22s,0,210,15.462,16.947
  0m23s,0,220,14.739,16.859
  0m22s,0,230,13.939,16.782
  0m23s,0,240,13.315,16.709
  0m27s,0,250,12.749,16.638
  0m24s,0,260,12.215,16.571
  0m23s,0,270,11.729,16.507
  0m22s,0,280,11.275,16.445
  0m21s,0,290,10.827,16.387
  0m21s,0,300,10.376,16.334
  0m21s,0,310,9.989,16.283
  0m20s,0,320,9.594,16.235
  0m21s,0,330,9.243,16.190
  0m20s,0,340,8.892,16.147
  0m20s,0,350,8.582,16.108
  0m22s,0,360,8.220,16.072
  0m20s,0,370,8.038,16.031
  0m20s,0,380,7.787,15.992
  0m20s,0,390,7.529,15.955
  0m22s,0,400,7.317,15.917
  0m21s,0,410,7.095,15.880
  0m21s,0,420,6.841,15.847
  0m20s,0,430,6.653,15.811
  0m19s,0,440,6.483,15.778
  0m20s,0,450,6.261,15.746
  0m20s,0,460,6.087,15.715
  0m20s,0,470,5.913,15.685
  0m19s,0,480,5.747,15.656
  0m20s,0,490,5.565,15.628
  0m20s,0,500,5.412,15.600
  0m22s,0,510,5.262,15.574
  0m24s,0,520,5.126,15.547
  0m22s,0,530,4.982,15.522
  0m21s,0,540,4.823,15.499
  0m19s,0,550,4.671,15.478
  0m19s,0,560,4.542,15.457
  0m20s,0,570,4.448,15.434
  0m19s,0,580,4.320,15.412
  0m19s,0,590,4.202,15.391
  0m20s,0,600,4.038,15.372
 80m35s,0,610,3.884,15.356
  0m30s,0,620,3.814,15.338
  0m28s,0,630,3.753,15.318
  0m28s,0,640,3.668,15.298
  0m30s,0,650,3.544,15.281
  0m20s,0,660,3.476,15.264
  0m20s,0,670,3.395,15.245
  0m21s,0,680,3.314,15.227
  0m26s,0,690,3.214,15.209
  0m32s,0,700,3.141,15.191
  0m22s,0,710,3.049,15.174
  0m25s,0,720,2.964,15.158
  0m27s,0,730,2.861,15.143
  0m39s,0,740,2.801,15.127
  0m28s,0,750,2.756,15.109
  0m25s,0,760,2.673,15.093
  0m28s,0,770,2.611,15.077
  0m26s,0,780,2.539,15.062
  0m30s,0,790,2.469,15.048
  0m22s,0,800,2.427,15.032
  0m30s,0,810,2.364,15.017
  0m31s,0,820,2.296,15.002
  0m30s,0,830,2.245,14.988
  0m28s,0,840,2.187,14.974
  0m24s,0,850,2.115,14.961
  0m26s,0,860,2.076,14.947
  0m26s,0,870,2.030,14.933
  0m25s,0,880,1.972,14.920
  0m28s,0,890,1.912,14.909
  0m29s,0,900,1.886,14.896
  0m29s,0,910,1.849,14.882
  0m25s,0,920,1.800,14.869
  0m22s,0,930,1.749,14.857
  0m22s,0,940,1.707,14.844
  0m29s,0,950,1.668,14.832
  0m31s,0,960,1.603,14.820
  0m34s,0,970,1.525,14.812
  0m26s,0,980,1.506,14.801
  0m27s,0,990,1.486,14.789
  0m23s,0,1000,1.448,14.777
  0m22s,0,1010,1.399,14.766
  0m21s,0,1020,1.370,14.755
  0m22s,0,1030,1.318,14.745
  0m23s,0,1040,1.270,14.736
  0m24s,0,1050,1.239,14.728
  0m23s,0,1060,1.199,14.720
  0m22s,0,1070,1.175,14.711
  0m22s,0,1080,1.151,14.701
  0m23s,0,1090,1.128,14.691
  0m22s,0,1100,1.101,14.681
  0m22s,0,1110,1.065,14.672
  0m21s,0,1120,1.025,14.663
  0m33s,0,1130,0.988,14.655
  0m35s,0,1140,0.973,14.646
  0m30s,0,1150,0.939,14.637
  0m23s,0,1160,0.910,14.629
  0m28s,0,1170,0.893,14.621
  0m24s,0,1180,0.875,14.612
  0m25s,0,1190,0.842,14.603
  0m26s,0,1200,0.799,14.596
  0m27s,0,1210,0.790,14.588
  0m24s,0,1220,0.768,14.580
  0m25s,0,1230,0.741,14.571
  0m26s,0,1240,0.718,14.564
  0m26s,0,1250,0.706,14.556
  0m23s,0,1260,0.679,14.547
  0m22s,0,1270,0.649,14.540
  0m22s,0,1280,0.625,14.532
  0m25s,0,1290,0.598,14.525
  0m27s,0,1300,0.574,14.519
  0m23s,0,1310,0.543,14.512
  0m24s,0,1320,0.525,14.505
  0m23s,0,1330,0.503,14.498
  0m27s,0,1340,0.487,14.490
  0m26s,0,1350,0.470,14.483
  0m23s,0,1360,0.450,14.475
  0m23s,0,1370,0.436,14.468
  0m23s,0,1380,0.411,14.460
  0m26s,0,1390,0.384,14.454
  0m25s,0,1400,0.359,14.447
  0m23s,0,1410,0.339,14.441
  0m25s,0,1420,0.327,14.434
  0m23s,0,1430,0.308,14.427
  0m30s,0,1440,0.274,14.421
  0m28s,0,1450,0.258,14.416
  0m23s,0,1460,0.254,14.410
  0m22s,0,1470,0.246,14.403
  0m24s,0,1480,0.227,14.396
  0m27s,0,1490,0.206,14.390
  0m28s,0,1500,0.191,14.384
  0m23s,0,1510,0.172,14.377
  0m25s,0,1520,0.150,14.371
  0m25s,0,1530,0.132,14.366
  0m24s,0,1540,0.122,14.359
  0m33s,0,1550,0.108,14.353
  0m28s,0,1560,0.089,14.347
  0m22s,0,1570,0.074,14.341
  0m23s,0,1580,0.057,14.335
  0m21s,0,1590,0.036,14.330
  0m21s,0,1600,0.033,14.324
  0m22s,0,1610,0.015,14.319
  0m21s,0,1620,0.003,14.314
  0m21s,0,1630,-0.019,14.309
  0m21s,0,1640,-0.041,14.304
  0m20s,0,1650,-0.051,14.300
  0m21s,0,1660,-0.055,14.295
  0m22s,0,1670,-0.061,14.290
  0m21s,0,1680,-0.074,14.285
  0m21s,0,1690,-0.087,14.280
  0m21s,0,1700,-0.093,14.274
  0m20s,0,1710,-0.106,14.269
  0m20s,0,1720,-0.115,14.264
  0m20s,0,1730,-0.126,14.260
  0m20s,0,1740,-0.141,14.255
  0m20s,0,1750,-0.146,14.250
  0m19s,0,1760,-0.155,14.246
  0m20s,0,1770,-0.168,14.241
  0m20s,0,1780,-0.169,14.237
  0m24s,0,1790,-0.175,14.232
  0m22s,0,1800,-0.186,14.227
  0m28s,0,1810,-0.192,14.221
  0m30s,0,1820,-0.210,14.217
  0m35s,0,1830,-0.225,14.213
  0m22s,0,1840,-0.228,14.209
  0m32s,0,1850,-0.231,14.204
  0m35s,0,1860,-0.236,14.199
  0m27s,0,1870,-0.243,14.194
  0m29s,0,1880,-0.255,14.190
  0m26s,0,1890,-0.265,14.186
  0m30s,0,1900,-0.275,14.182
  0m34s,0,1910,-0.277,14.177
  0m27s,0,1920,-0.284,14.173
  0m31s,0,1930,-0.291,14.168
  0m27s,0,1940,-0.301,14.164
  0m31s,0,1950,-0.308,14.160
  0m28s,0,1960,-0.319,14.156
  0m27s,0,1970,-0.321,14.152
  0m26s,0,1980,-0.327,14.148
  0m26s,0,1990,-0.332,14.144
  0m25s,0,2000,-0.341,14.140
  0m35s,0,2010,-0.344,14.136
  0m26s,0,2020,-0.353,14.132
  0m26s,0,2030,-0.357,14.128
  0m26s,0,2040,-0.366,14.124
  0m26s,0,2050,-0.387,14.120
  0m26s,0,2060,-0.394,14.117
  0m30s,0,2070,-0.392,14.113
  0m27s,0,2080,-0.406,14.109
  0m28s,0,2090,-0.411,14.106
  0m28s,0,2100,-0.416,14.102
  0m29s,0,2110,-0.424,14.099
  0m25s,0,2120,-0.425,14.095
  0m25s,0,2130,-0.435,14.092
  0m31s,0,2140,-0.440,14.088
  0m27s,0,2150,-0.452,14.085
  0m32s,0,2160,-0.458,14.082
  0m26s,0,2170,-0.458,14.078
  0m28s,0,2180,-0.463,14.075
  0m26s,0,2190,-0.470,14.072
  0m27s,0,2200,-0.475,14.069
  0m25s,0,2210,-0.478,14.066
  0m32s,0,2220,-0.483,14.063
  0m29s,0,2230,-0.484,14.059
  0m27s,0,2240,-0.486,14.055
  0m25s,0,2250,-0.498,14.052
  0m26s,0,2260,-0.503,14.049
  0m31s,0,2270,-0.511,14.045
  0m25s,0,2280,-0.516,14.042
  0m27s,0,2290,-0.526,14.039
  0m25s,0,2300,-0.530,14.035
  0m25s,0,2310,-0.531,14.032
  0m27s,0,2320,-0.539,14.028
  0m29s,0,2330,-0.545,14.025
  0m28s,0,2340,-0.548,14.022
  0m31s,0,2350,-0.555,14.019
  0m35s,0,2360,-0.557,14.016
  0m31s,0,2370,-0.559,14.012
  0m25s,0,2380,-0.565,14.009
  0m28s,0,2390,-0.572,14.006
